Source,Target,Label,Publication_name
01/2038,219/2986,15223,"The GH-EXIN neural network for hierarchical clustering."
01/2038,15/6556,15223,"The GH-EXIN neural network for hierarchical clustering."
228/1667,238/7860,15223,"The GH-EXIN neural network for hierarchical clustering."
228/1667,219/2986,15223,"The GH-EXIN neural network for hierarchical clustering."
228/1667,15/6556,15223,"The GH-EXIN neural network for hierarchical clustering."
238/7860,219/2986,15223,"The GH-EXIN neural network for hierarchical clustering."
238/7860,15/6556,15223,"The GH-EXIN neural network for hierarchical clustering."
219/2986,15/6556,15223,"The GH-EXIN neural network for hierarchical clustering."
255/9507,256/0110,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
255/9507,71/6613,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
255/9507,256/0097,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
255/9507,146/0203,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
255/9507,84/1046,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0110,71/6613,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0110,256/0097,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0110,146/0203,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0110,84/1046,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
71/6613,256/0097,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
71/6613,146/0203,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
71/6613,84/1046,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0097,146/0203,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
256/0097,84/1046,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
146/0203,84/1046,15225,"Realistic spiking neural network - Non-synaptic mechanisms improve convergence in cell assembly."
